wafer_id,target,status,calibrated_failure_probability,uncertainty_adjusted_decision,prediction_confidence,combined_uncertainty,data_familiarity_band,evidence_agreement,recommended_action,priority_1_sensor,top_5_sensors
WF-000239,1,Fail,0.3250012272911499,High Risk,0.3127861614453524,0.6872138385546476,Familiar,Convergent Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_060, sensor_478, sensor_511, sensor_206"
WF-000045,0,Pass,0.2695770769573562,Insufficient Evidence,0.1618960901092023,0.8381039098907976,Outside Typical Historical Experience,Insufficient Evidence,Repeat or verify available measurements and obtain engineering review before making a release decision.,sensor_104,"sensor_104, sensor_060, sensor_065, sensor_432, sensor_511"
WF-000171,0,Pass,0.2453715147057599,High Risk,0.1805531186984122,0.8194468813015878,Unusual,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_060, sensor_511, sensor_206, sensor_520"
WF-000191,0,Pass,0.2366487052575615,High Risk,0.2141170073585696,0.7858829926414304,Familiar,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_060, sensor_065, sensor_342, sensor_478"
WF-000229,0,Pass,0.2326193201507954,High Risk,0.2345810678389503,0.7654189321610496,Familiar,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_478, sensor_206, sensor_065, sensor_511"
WF-000122,0,Pass,0.1958908042345759,High Risk,0.2756980984333382,0.7243019015666619,Outside Typical Historical Experience,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_034, sensor_065, sensor_060, sensor_066"
WF-000188,0,Pass,0.1899591813905203,High Risk,0.1970674677887459,0.802932532211254,Unusual,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_065, sensor_511, sensor_520, sensor_066"
WF-000216,0,Pass,0.1849699847961197,High Risk,0.2212822159938733,0.7787177840061267,Familiar,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_060,"sensor_060, sensor_104, sensor_511, sensor_520, sensor_386"
WF-000024,1,Fail,0.1822904497207002,Insufficient Evidence,0.1423588167949389,0.857641183205061,Outside Typical Historical Experience,Insufficient Evidence,Repeat or verify available measurements and obtain engineering review before making a release decision.,sensor_060,"sensor_060, sensor_432, sensor_153, sensor_034, sensor_520"
WF-001273,0,Pass,0.1811384392853575,High Risk,0.3765387710063268,0.6234612289936732,Familiar,Model-Led Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_424, sensor_015, sensor_125, sensor_126"
WF-000326,0,Pass,0.1758060533040049,High Risk,0.2995375613006412,0.7004624386993588,Familiar,Convergent Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_478, sensor_206, sensor_342, sensor_060"
WF-000234,0,Pass,0.1691337865727382,High Risk,0.2002679604884241,0.7997320395115759,Unusual,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_206, sensor_478, sensor_060, sensor_342"
